longName,avg_playerankIndex,scouting_period
Raffael Caetano de Araújo,0.19252482830877615,2017-2018
Dominik Maroh,0.18782407465925466,2017-2018
Marvin Plattenhardt,0.16108630133854843,2017-2018
Daniel Didavi,0.1826370779428029,2017-2018
Mike Frantz,0.17685372431231774,2017-2018
Timothy Chandler,0.1781479167687718,2017-2018
Alexander Esswein,0.17963701951084293,2017-2018
Loris Karius,0.2187028614700075,2017-2018
Stefan Bell,0.1833352356301893,2017-2018
Julian Baumgartlinger,0.17848979761780107,2017-2018
Yunus Mallı,0.1855920889259852,2017-2018
Marcel Risse,0.16322487272506395,2017-2018
Jean-Eric Maxim Choupo-Moting,0.19086647624436787,2017-2018
Ádám Szalai,0.1923720277037188,2017-2018
Anthony Ujah,0.16978196029924075,2017-2018
Antonio Rukavina,0.16711120577257427,2017-2018
Christopher Schindler,0.18123805943985263,2017-2018
Sebastian Maier,0.1637098670725816,2017-2018
Kevin Volland,0.1898801249690203,2017-2018
Bobby Shou Wood,0.17367037200392643,2017-2018
Matthias Lehmann,0.17334480508687952,2017-2018
Pirmin Schwegler,0.15554897197859144,2017-2018
Timo Horn,0.07603024080444945,2017-2018
Mitchell Weiser,0.16374250973750684,2017-2018
Christian Clemens,0.16974618077788908,2017-2018
Mark Uth,0.20255581729937375,2017-2018
Leonardo Bittencourt,0.18284200131062675,2017-2018
Daniel Brosinski,0.16533797358434485,2017-2018
Nicolas Höfler,0.1802777307875926,2017-2018
Mërgim Mavraj,0.18503893497132437,2017-2018
Johannes Geis,0.16865908267051646,2017-2018
Felix Klaus,0.17418030880723598,2017-2018
Janik Haberer,0.17849720500486418,2017-2018
Florian Niederlechner,0.1818889219936864,2017-2018
Hakan Çalhanoğlu,0.17623666029366272,2017-2018
Pascal Groß,0.17496896908487425,2017-2018
Marco Terrazzino,0.17593257362657297,2017-2018
Simon Zoller,0.17397927542790106,2017-2018
Marcel Heller,0.16820925489681865,2017-2018
Benjamin Hübner,0.18924253952013287,2017-2018
Sebastian Langkamp,0.18346334922522275,2017-2018
Matthias Ostrzolek,0.16340454832181592,2017-2018
Paul Verhaegh,0.17111178710468905,2017-2018
Daniel Baier,0.17158889717090953,2017-2018
Ja-Cheol Koo,0.17564090858739062,2017-2018
Jan Morávek,0.16939566662640645,2017-2018
Koen Casteels,0.1680110642892473,2017-2018
Andreas Beck,0.16079206956214145,2017-2018
Fabian Johnson,0.1725375903240824,2017-2018
Jannik Vestergaard,0.18577014556941937,2017-2018
Roberto Firmino Barbosa de Oliveira,0.19705566981110786,2017-2018
Sebastian Rudy,0.17834292438628288,2017-2018
Sejad Salihović,0.1596510947928037,2017-2018
Sven Schipplock,0.17210986771748502,2017-2018
Daniel Williams,0.17106291094121265,2017-2018
André Hahn,0.18139884647307922,2017-2018
