longName,wyId
Pione Sisto Ifolo Emirmija,241945
Julian Pollersbeck,241957
Gideon Jung,241966
Weston  McKennie,471348
Johann Obiang,209207
Flavien Tait,209209
Michaël Jordan Nkololo,209211
Gabriel Fernando de Jesus,340386
Fakhreddine Ben Youssef,209354
Alejandro Robles García,405972
Domenico Berardi,209400
Reece Oxford,340476
Everton Luiz Guimaraes Bilher,45579
Alexandre Mendy,274970
Jamie Vardy,12829
Moussa Sylla,471589
Enzo Crivelli,275032
Robin Hack,373350
Vincent Thill,406156
Benjamin Pavard,340646
Jordan Torunarigha,275121
Hotaru Yamaguchi,95010
Alessandro Confente,417230
Imad Faraj,471771
Léo Dubois,242446
Saîf-Eddine Khaoui,275243
Samuel García Sánchez,275293
Brian Oladapo Idowu,209792
Vincent Sierro,373636
