Player,League,Season
Franck Evina,Bundesliga,2017-2018
Niklas Dorsch,Bundesliga,2017-2018
Meritan Shabani,Bundesliga,2017-2018
Marco Friedl,Bundesliga,2017-2018
Kwasi Okyere Wriedt,Bundesliga,2017-2018
Joshua Kimmich,Bundesliga,2018-2019
Robert Lewandowski,Bundesliga,2018-2019
Niklas Süle,Bundesliga,2018-2019
David Alaba,Bundesliga,2018-2019
Thomas Müller,Bundesliga,2018-2019
Thiago Alcántara,Bundesliga,2018-2019
Manuel Neuer,Bundesliga,2018-2019
Leon Goretzka,Bundesliga,2018-2019
Serge Gnabry,Bundesliga,2018-2019
Mats Hummels,Bundesliga,2018-2019
Jérôme Boateng,Bundesliga,2018-2019
Kingsley Coman,Bundesliga,2018-2019
Javi Martínez,Bundesliga,2018-2019
James Rodríguez,Bundesliga,2018-2019
Franck Ribéry,Bundesliga,2018-2019
Rafinha,Bundesliga,2018-2019
Sven Ulreich,Bundesliga,2018-2019
Arjen Robben,Bundesliga,2018-2019
Renato Sanches,Bundesliga,2018-2019
Sandro Wagner,Bundesliga,2018-2019
Corentin Tolisso,Bundesliga,2018-2019
Alphonso Davies,Bundesliga,2018-2019
Jeong Woo-yeong,Bundesliga,2018-2019
Meritan Shabani,Bundesliga,2018-2019
Manuel Neuer,Bundesliga,2019-2020
Joshua Kimmich,Bundesliga,2019-2020
Benjamin Pavard,Bundesliga,2019-2020
Robert Lewandowski,Bundesliga,2019-2020
David Alaba,Bundesliga,2019-2020
Thomas Müller,Bundesliga,2019-2020
Serge Gnabry,Bundesliga,2019-2020
Alphonso Davies,Bundesliga,2019-2020
Jérôme Boateng,Bundesliga,2019-2020
Thiago Alcántara,Bundesliga,2019-2020
Leon Goretzka,Bundesliga,2019-2020
Kingsley Coman,Bundesliga,2019-2020
Philippe Coutinho,Bundesliga,2019-2020
Ivan Perišić,Bundesliga,2019-2020
Lucas Hernández,Bundesliga,2019-2020
Niklas Süle,Bundesliga,2019-2020
Corentin Tolisso,Bundesliga,2019-2020
Javi Martínez,Bundesliga,2019-2020
Mickaël Cuisance,Bundesliga,2019-2020
