Player_SN,Player_LN,avg_playerankIndex,Player Valuation,scouting_period,Age,Height,Position,Foot,Data_League,Goals.Against,Shots.on.Target.Against,Saves,Save.,Wins,Draws,Losses,Clean.Sheets,Clean.Sheet.Percentage,Penalty.Kicks.Attempted,Penalty.Kicks.Allowed,Penalty.Kicks.Saved,Penalty.Kicks.Missed,Save...Penalty.Kicks.,Goals.Against.1,Penalty.Kicks.Allowed.1,Free.Kick.Goals.Against,Corner.Kick.Goals.Against,Own.Goals.Scored.Against.Goalkeeper,PSxG,PSxG.SoT,PSxG.GA,Passes.Completed..Launched.,Passes.Attempted..Launched.,Pass.Completion.Percentage..Launched.,Passes.Attempted,Throws.Attempted,Launch.,Average.Pass.Length,Goal.Kicks,Launch...Goal.Kicks.,Avg..Length.of.Goal.Kicks,Crosses.Faced,Crosses.Stopped,Crosses.Stopped..,Def..Actions.Outside.Pen..Area,Avg..Distance.of.Def..Actions,longName
Marco Sportiello,Marco Sportiello,0.1479735686279944,2000000,2020-2021,29.0,1.92,Goalkeeper,right,Serie A,1.5,3.43,2.0,58.3,0.64,0.07,0.21,0.14,15.4,0.14,0.07,0.07,0.0,50.0,1.5,0.07,0.0,0.14,0.0,1.15,0.3,-0.35,3.5,7.78,45.0,22.77,4.92,23.8,30.0,4.0,58.9,47.2,6.28,0.5,8.0,1.07,16.9,Marco Sportiello
Marco Sportiello,Marco Sportiello,0.1083198472587382,4666666,2018-2019,27.0,1.92,Goalkeeper,right,Serie A,1.83,5.66,4.0,70.2,0.14,0.26,0.6,0.23,22.9,0.14,0.14,0.0,0.0,0.0,1.83,0.14,0.06,0.29,0.03,1.6,0.27,-0.2,5.43,16.57,32.8,25.46,6.54,40.4,38.2,9.66,65.1,50.9,11.54,0.94,8.2,0.31,12.3,Marco Sportiello
Marco Sportiello,Marco Sportiello,0.201551317795901,6500000,2017-2018,26.0,1.92,Goalkeeper,right,Serie A,1.07,3.77,2.67,73.1,0.45,0.25,0.34,0.39,37.8,0.08,0.06,0.03,0.0,33.3,1.07,0.06,0.06,0.14,0.0,1.15,0.29,0.08,4.3,11.08,38.8,21.09,5.2,36.8,34.8,6.61,50.2,42.2,8.94,1.12,12.6,0.31,13.7,Marco Sportiello
Martin Dúbravka,Martin Dúbravka,0.1294937295749712,6500000,2020-2021,32.0,1.91,Goalkeeper,right,Premier League,1.46,4.54,3.23,69.5,0.38,0.38,0.23,0.23,23.1,0.08,0.08,0.0,0.0,0.0,1.46,0.08,0.0,0.08,0.08,1.49,0.31,0.11,6.08,14.31,42.5,23.54,4.92,38.2,36.9,9.31,57.0,47.3,12.38,1.0,8.1,0.46,12.2,Martin Dúbravka
Martin Dúbravka,Martin Dúbravka,0.1515619699506366,6250000,2019-2020,31.0,1.91,Goalkeeper,right,Premier League,1.53,5.0,3.53,70.5,0.29,0.29,0.42,0.29,28.9,0.05,0.05,0.0,0.0,0.0,1.53,0.05,0.05,0.29,0.05,1.74,0.34,0.26,7.76,20.47,37.9,19.89,3.18,63.6,48.4,8.87,88.1,64.4,10.11,0.53,5.2,0.37,12.3,Martin Dúbravka
Martin Dúbravka,Martin Dúbravka,0.1661019348365364,6000000,2018-2019,30.0,1.91,Goalkeeper,right,Premier League,1.26,3.5,2.42,68.4,0.32,0.24,0.45,0.29,28.9,0.16,0.16,0.0,0.0,0.0,1.26,0.16,0.05,0.26,0.03,1.22,0.31,-0.01,7.21,19.63,36.7,22.5,3.58,55.0,44.2,8.47,85.7,62.7,10.92,1.03,9.4,0.66,13.5,Martin Dúbravka
Martin Dúbravka,Martin Dúbravka,0.2152717165144197,2175000,2017-2018,29.0,1.91,Goalkeeper,right,Premier League,0.92,3.08,2.17,70.3,0.5,0.08,0.42,0.33,33.3,0.08,0.0,0.08,0.0,100.0,0.92,0.0,0.0,0.0,0.0,1.09,0.33,0.18,5.33,17.33,30.8,20.83,2.83,52.4,43.5,7.67,83.7,61.2,9.08,0.92,10.1,1.08,16.4,Martin Dúbravka
Marwin Hitz,Marwin Hitz,0.1758716146506454,1700000,2020-2021,34.0,1.94,Goalkeeper,right,Bundesliga,1.03,2.71,1.74,66.7,0.71,0.13,0.19,0.45,43.8,0.13,0.13,0.0,0.0,0.0,1.03,0.13,0.0,0.06,0.06,1.02,0.33,0.05,6.06,11.68,51.9,27.55,4.45,28.3,31.9,7.94,48.8,41.7,5.94,0.45,7.6,0.45,14.3,Marwin Hitz
Marwin Hitz,Marwin Hitz,0.1821179763325242,4000000,2017-2018,31.0,1.94,Goalkeeper,right,Bundesliga,1.31,4.97,3.69,74.2,0.31,0.31,0.38,0.28,28.1,0.06,0.03,0.03,0.0,50.0,1.31,0.03,0.06,0.31,0.03,1.34,0.26,0.06,8.5,18.0,47.2,26.88,4.25,49.5,41.2,7.69,61.0,48.5,7.69,0.56,7.3,0.72,14.4,Marwin Hitz
Mathew Ryan,Mathew David Ryan,0.1468596228399565,6666666,2020-2021,29.0,1.84,Goalkeeper,right,Premier League,1.5,2.79,1.71,59.0,0.21,0.36,0.43,0.21,21.4,0.36,0.36,0.0,0.0,0.0,1.5,0.36,0.0,0.21,0.07,1.36,0.37,-0.07,4.5,10.86,41.4,28.5,5.36,30.6,31.6,4.79,44.8,39.2,8.79,0.79,8.9,0.5,14.2,Mathew Ryan
Mathew Ryan,Mathew David Ryan,0.145127540914256,9000000,2019-2020,28.0,1.84,Goalkeeper,right,Premier League,1.42,4.32,3.0,68.3,0.24,0.37,0.39,0.24,23.7,0.05,0.05,0.0,0.0,0.0,1.42,0.05,0.0,0.21,0.08,1.43,0.32,0.09,7.16,13.87,51.6,31.26,6.11,33.8,33.8,7.21,45.6,38.7,8.26,0.63,7.6,0.5,13.9,Mathew Ryan
Mathew Ryan,Mathew David Ryan,0.1147772573388784,9000000,2018-2019,27.0,1.84,Goalkeeper,right,Premier League,1.62,4.12,2.74,66.4,0.24,0.24,0.53,0.18,17.6,0.24,0.24,0.0,0.0,0.0,1.62,0.24,0.03,0.18,0.0,1.49,0.32,-0.13,9.85,23.32,42.2,20.79,2.76,69.0,49.9,9.56,93.8,63.5,9.47,0.59,6.2,0.32,13.0,Mathew Ryan
Mathew Ryan,Mathew David Ryan,0.1865849483590325,6333333,2017-2018,26.0,1.84,Goalkeeper,right,Premier League,1.42,4.5,3.18,69.0,0.24,0.34,0.42,0.26,26.3,0.08,0.03,0.05,0.0,66.7,1.42,0.03,0.03,0.39,0.13,1.48,0.32,0.19,9.89,24.03,41.2,21.61,3.11,70.9,50.4,9.26,94.0,63.5,10.08,0.5,5.0,0.39,12.6,Mathew Ryan
Matthieu Dreyer,Matthieu Dreyer,0.1145103432712105,550000,2020-2021,32.0,1.88,Goalkeeper,right,Ligue 1,1.67,3.4,2.2,62.7,0.33,0.33,0.33,0.13,13.3,0.4,0.4,0.0,0.0,0.0,1.67,0.4,0.07,0.2,0.07,1.37,0.32,-0.23,5.07,13.4,37.8,16.87,2.87,48.6,40.4,7.2,72.2,48.6,7.4,0.47,6.3,0.4,12.8,Matthieu Dreyer
Mattia Perin,Mattia Perin,0.192761542732774,7166666,2020-2021,29.0,1.88,Goalkeeper,right,Serie A,1.38,4.72,3.53,75.5,0.28,0.34,0.38,0.25,25.8,0.22,0.22,0.0,0.0,0.0,1.38,0.22,0.0,0.19,0.06,1.48,0.28,0.16,7.28,19.51,37.3,27.85,4.25,54.8,41.3,8.6,49.5,39.7,10.69,0.53,5.0,0.28,12.4,Mattia Perin
Mattia Perin,Mattia Perin,0.1024778399611698,9333333,2019-2020,28.0,1.88,Goalkeeper,right,Serie A,1.81,4.71,3.0,62.6,0.38,0.19,0.43,0.24,23.8,0.1,0.05,0.0,0.05,0.0,1.81,0.05,0.05,0.19,0.05,1.76,0.36,0.0,6.95,19.43,35.8,26.0,4.43,56.8,44.6,9.0,51.9,44.1,10.14,0.52,5.2,0.38,12.3,Mattia Perin
Mattia Perin,Mattia Perin,0.2258331970499405,15500000,2017-2018,26.0,1.88,Goalkeeper,right,Serie A,1.14,4.51,3.54,77.2,0.3,0.22,0.49,0.32,32.4,0.11,0.11,0.0,0.0,0.0,1.14,0.11,0.03,0.05,0.05,1.18,0.24,0.09,8.73,21.38,40.8,23.62,3.08,58.0,43.9,8.62,89.0,60.2,9.86,0.57,5.8,0.54,13.9,Mattia Perin
Maxime Dupé,Maxime Dupé,0.1026064834300846,900000,2018-2019,26.0,1.88,Goalkeeper,right,Ligue 1,1.63,2.97,1.53,51.6,0.48,0.29,0.19,0.1,10.0,0.29,0.19,0.1,0.0,33.3,1.63,0.19,0.19,0.19,0.0,1.23,0.35,-0.4,6.81,18.79,36.2,20.13,3.64,55.2,44.5,8.72,87.9,64.4,8.82,0.38,4.3,0.58,16.0,Maxime Dupé
Michael Esser,Michael Esser,0.0972568532581269,1333333,2018-2019,32.0,1.98,Goalkeeper,right,Bundesliga,2.06,6.53,4.66,70.8,0.16,0.19,0.66,0.16,15.6,0.19,0.16,0.03,0.0,16.7,2.06,0.16,0.03,0.38,0.03,1.83,0.26,-0.2,9.78,20.41,47.9,29.59,4.41,51.2,40.7,8.88,59.2,46.3,11.03,0.53,4.8,0.88,15.0,Michael Esser
Mike Maignan,Mike Peterson Maignan,0.2810883014110982,23333333,2020-2021,26.0,1.91,Goalkeeper,right,Ligue 1,0.61,2.82,2.26,79.4,0.63,0.29,0.08,0.55,55.3,0.05,0.03,0.03,0.0,50.0,0.61,0.03,0.0,0.18,0.05,0.68,0.23,0.13,4.03,11.5,35.0,21.89,5.03,34.9,35.3,6.26,61.8,52.2,7.53,0.61,8.0,0.68,15.5,Mike Maignan
Mike Maignan,Mike Peterson Maignan,0.217306632742873,20500000,2019-2020,25.0,1.91,Goalkeeper,right,Ligue 1,0.96,2.79,2.07,70.5,0.54,0.14,0.32,0.43,42.9,0.21,0.14,0.04,0.04,20.0,0.96,0.14,0.04,0.04,0.11,0.86,0.26,0.01,5.64,15.18,37.2,20.07,5.07,49.1,41.7,7.14,74.5,58.8,7.14,0.82,11.5,0.32,13.8,Mike Maignan
Mike Maignan,Mike Peterson Maignan,0.225013885230446,11375000,2018-2019,24.0,1.91,Goalkeeper,right,Ligue 1,0.87,3.11,2.39,77.1,0.58,0.24,0.18,0.39,40.5,0.26,0.16,0.05,0.05,25.0,0.87,0.16,0.03,0.11,0.0,0.93,0.25,0.06,5.24,15.61,33.6,21.71,5.24,46.3,40.3,7.11,78.1,59.4,8.39,0.97,11.6,0.63,14.8,Mike Maignan
Mike Maignan,Mike Peterson Maignan,0.1410292597587069,3250000,2017-2018,23.0,1.91,Goalkeeper,right,Ligue 1,1.57,4.75,3.32,68.8,0.3,0.21,0.47,0.15,14.7,0.18,0.09,0.06,0.03,40.0,1.57,0.09,0.03,0.06,0.06,1.52,0.3,0.01,3.29,8.49,38.8,21.46,3.95,26.0,30.8,4.19,69.5,56.8,8.93,0.98,11.0,0.95,16.4,Mike Maignan
Nick Pope,Nicholas David Pope,0.2377927697505346,13500000,2020-2021,29.0,1.98,Goalkeeper,right,Premier League,1.16,4.63,3.56,77.0,0.31,0.28,0.41,0.34,34.4,0.09,0.09,0.0,0.0,0.0,1.16,0.09,0.0,0.22,0.03,1.28,0.26,0.15,9.13,23.66,38.6,22.75,4.0,74.3,53.0,7.84,86.1,62.3,10.16,1.31,12.9,1.28,16.5,Nick Pope
Nick Pope,Nicholas David Pope,0.1894075561672951,10750000,2019-2020,28.0,1.98,Goalkeeper,right,Premier League,1.32,4.18,2.95,71.1,0.39,0.24,0.37,0.39,39.5,0.13,0.11,0.03,0.0,20.0,1.32,0.11,0.0,0.21,0.03,1.24,0.27,-0.05,7.5,24.11,31.1,23.03,4.42,73.0,54.4,8.03,90.8,69.9,9.82,1.39,14.2,0.92,16.5,Nick Pope
Nick Pope,Nicholas David Pope,0.2512958180429833,5333333,2017-2018,26.0,1.98,Goalkeeper,right,Premier League,1.01,4.25,3.29,78.2,0.35,0.32,0.32,0.35,35.3,0.14,0.09,0.03,0.03,25.0,1.01,0.09,0.0,0.09,0.03,1.27,0.28,0.29,10.58,29.57,35.8,26.45,3.41,80.3,58.9,8.67,96.0,72.8,11.39,1.3,11.4,0.64,14.8,Nick Pope
Oliver Baumann,Oliver Baumann,0.2026325356515257,5250000,2020-2021,31.0,1.87,Goalkeeper,right,Bundesliga,1.65,4.06,2.61,64.3,0.32,0.26,0.42,0.19,19.4,0.29,0.19,0.06,0.03,25.0,1.65,0.19,0.0,0.13,0.06,1.55,0.33,-0.03,6.13,14.81,41.4,37.03,5.61,32.9,32.8,6.58,39.7,35.1,8.77,0.35,4.0,1.16,15.1,Oliver Baumann
Oliver Baumann,Oliver Baumann,0.1489973490514569,6250000,2019-2020,30.0,1.87,Goalkeeper,right,Bundesliga,1.63,4.77,3.37,69.2,0.43,0.23,0.33,0.23,23.3,0.23,0.17,0.07,0.0,28.6,1.63,0.17,0.0,0.13,0.07,1.41,0.26,-0.16,5.43,14.53,37.4,34.6,6.03,32.0,32.7,8.83,39.2,36.7,10.27,0.53,5.2,1.1,15.3,Oliver Baumann
Oliver Baumann,Oliver Baumann,0.1373662419546766,9000000,2018-2019,29.0,1.87,Goalkeeper,right,Bundesliga,1.55,4.82,3.45,71.7,0.36,0.36,0.27,0.15,15.2,0.21,0.18,0.03,0.0,14.3,1.55,0.18,0.0,0.15,0.03,1.59,0.3,0.08,6.36,13.73,46.4,31.73,5.55,32.5,32.6,7.33,46.7,42.9,9.03,0.76,8.4,1.33,16.8,Oliver Baumann
Oliver Baumann,Oliver Baumann,0.177881855316659,9000000,2017-2018,28.0,1.87,Goalkeeper,right,Bundesliga,1.41,4.29,3.06,69.2,0.44,0.29,0.26,0.29,29.4,0.12,0.09,0.03,0.0,25.0,1.41,0.09,0.03,0.26,0.09,1.21,0.27,-0.11,6.44,18.24,35.3,34.56,5.12,40.8,35.9,6.76,61.3,48.7,9.15,0.59,6.4,1.09,15.6,Oliver Baumann
Orestis Karnezis,Orestis Karnezis,0.1252474260529935,3250000,2017-2018,33.0,1.9,Goalkeeper,right,Premier League,1.67,3.76,2.3,61.1,0.28,0.21,0.49,0.28,28.6,0.21,0.21,0.0,0.0,0.0,1.67,0.21,0.0,0.14,0.0,1.41,0.33,-0.26,8.16,22.73,35.9,22.1,2.44,79.2,54.5,5.65,92.6,62.9,8.64,0.56,6.5,0.49,13.6,Orestis Karnezis
Péter Gulácsi,Péter Gulácsi,0.2182466668734507,12000000,2020-2021,31.0,1.9,Goalkeeper,right,Bundesliga,0.91,2.33,1.45,64.9,0.58,0.24,0.18,0.45,45.5,0.09,0.09,0.0,0.0,0.0,0.91,0.09,0.0,0.06,0.0,0.74,0.29,-0.17,4.15,8.33,49.8,30.39,5.18,24.2,30.3,5.03,19.3,27.5,5.64,0.36,6.5,1.61,18.7,Péter Gulácsi
Péter Gulácsi,Péter Gulácsi,0.2009913293059314,10750000,2019-2020,30.0,1.9,Goalkeeper,right,Bundesliga,1.06,3.66,2.56,72.6,0.5,0.38,0.13,0.31,31.3,0.06,0.06,0.0,0.0,0.0,1.06,0.06,0.0,0.25,0.0,1.18,0.31,0.11,5.16,12.44,41.5,32.56,5.72,30.5,33.1,7.06,35.4,35.2,7.59,0.59,7.8,1.5,17.2,Péter Gulácsi
Péter Gulácsi,Péter Gulácsi,0.2475604250681538,11000000,2018-2019,29.0,1.9,Goalkeeper,right,Bundesliga,0.83,3.32,2.65,78.7,0.58,0.28,0.15,0.49,48.5,0.15,0.12,0.0,0.03,0.0,0.83,0.12,0.03,0.12,0.03,0.99,0.27,0.19,7.78,19.05,40.9,24.37,3.82,54.4,44.3,6.71,86.2,61.6,7.45,0.46,6.2,1.29,17.1,Péter Gulácsi
Péter Gulácsi,Péter Gulácsi,0.1287007402206724,6125000,2017-2018,28.0,1.9,Goalkeeper,right,Bundesliga,1.58,4.33,2.88,67.1,0.45,0.24,0.3,0.18,18.2,0.15,0.15,0.0,0.0,0.0,1.58,0.15,0.0,0.27,0.0,1.54,0.33,-0.03,6.85,16.67,41.1,26.39,4.3,46.3,39.9,5.94,75.0,55.2,8.42,0.73,8.6,0.97,17.1,Péter Gulácsi
Philipp Tschauner,Philipp Marcus Tschauner,0.1577749841600955,1500000,2017-2018,33.0,1.96,Goalkeeper,right,Bundesliga,1.45,4.9,3.45,71.7,0.29,0.29,0.42,0.16,16.1,0.1,0.06,0.0,0.03,0.0,1.45,0.06,0.03,0.39,0.0,1.54,0.31,0.08,8.74,18.68,46.8,27.48,4.84,49.3,38.8,8.13,63.1,45.7,9.58,0.32,3.4,0.68,15.3,Philipp Tschauner
Pierluigi Gollini,Pierluigi Gollini,0.1787397823414408,17000000,2020-2021,26.0,1.94,Goalkeeper,right,Serie A,1.09,2.55,1.59,63.9,0.58,0.33,0.13,0.38,36.0,0.25,0.17,0.08,0.0,33.3,1.09,0.17,0.0,0.13,0.04,1.03,0.32,-0.01,4.88,11.27,43.3,22.96,3.42,34.5,35.4,4.93,67.8,52.5,5.64,0.29,5.2,0.96,16.3,Pierluigi Gollini
Pierluigi Gollini,Pierluigi Gollini,0.1610535893365645,12250000,2019-2020,25.0,1.94,Goalkeeper,right,Serie A,1.31,3.53,2.43,68.1,0.59,0.28,0.16,0.25,24.2,0.19,0.19,0.0,0.0,0.0,1.31,0.19,0.06,0.12,0.09,1.08,0.27,-0.14,5.87,13.17,44.5,23.65,5.34,37.1,37.0,6.55,67.1,52.5,6.46,0.47,7.2,1.15,15.7,Pierluigi Gollini
Pierluigi Gollini,Pierluigi Gollini,0.1951533334219179,4750000,2018-2019,24.0,1.94,Goalkeeper,right,Serie A,1.05,3.4,2.5,73.5,0.55,0.3,0.15,0.2,20.0,0.15,0.15,0.0,0.0,0.0,1.05,0.15,0.1,0.05,0.0,0.95,0.25,-0.1,5.4,13.8,39.1,22.7,4.05,38.3,36.7,6.6,77.3,57.8,7.65,0.4,5.2,0.85,15.9,Pierluigi Gollini
Predrag Rajković,Predrag Rajković,0.2426180096295996,8666666,2020-2021,26.0,1.92,Goalkeeper,right,Ligue 1,1.34,4.3,3.1,71.3,0.25,0.41,0.36,0.27,27.0,0.19,0.11,0.05,0.03,33.3,1.34,0.11,0.0,0.22,0.03,1.34,0.29,0.02,6.68,19.81,33.7,30.44,4.3,45.7,40.7,9.4,62.7,49.7,9.7,0.58,5.9,0.6,14.0,Predrag Rajković
Predrag Rajković,Predrag Rajković,0.2608096924982557,5833333,2019-2020,25.0,1.92,Goalkeeper,right,Ligue 1,0.67,3.11,2.41,79.8,0.37,0.41,0.22,0.44,44.4,0.19,0.04,0.11,0.04,75.0,0.67,0.04,0.04,0.07,0.0,0.99,0.27,0.32,5.26,14.48,36.3,29.48,4.41,35.6,36.4,7.48,53.5,45.0,9.44,0.96,10.2,0.59,14.0,Predrag Rajković
Rafał Gikiewicz,Rafał Gikiewicz,0.203985659119262,1500000,2020-2021,34.0,1.9,Goalkeeper,right,Bundesliga,1.62,5.06,3.65,71.5,0.29,0.18,0.53,0.21,20.6,0.29,0.18,0.06,0.06,25.0,1.62,0.18,0.0,0.12,0.09,1.53,0.27,0.03,7.53,19.21,39.2,32.38,6.32,43.4,37.5,8.76,58.7,46.8,11.79,0.76,6.5,0.76,14.4,Rafał Gikiewicz
Rafał Gikiewicz,Rafał Gikiewicz,0.1469102340144125,1233333,2019-2020,33.0,1.9,Goalkeeper,right,Bundesliga,1.64,4.85,3.3,68.1,0.36,0.15,0.48,0.24,24.2,0.12,0.09,0.03,0.0,25.0,1.64,0.09,0.0,0.27,0.03,1.55,0.3,-0.06,12.48,26.97,46.3,32.94,3.76,61.5,47.4,8.15,82.2,60.7,8.94,0.85,9.5,0.7,15.3,Rafał Gikiewicz
Ralf Fährmann,Ralf Sebastian Fährmann,0.1443356044369329,1300000,2020-2021,33.0,1.97,Goalkeeper,right,Bundesliga,2.4,6.67,4.51,66.2,0.14,0.14,0.77,0.14,13.6,0.19,0.14,0.05,0.0,25.0,2.4,0.14,0.05,0.38,0.1,1.94,0.27,-0.36,6.04,19.05,31.7,30.8,5.57,42.7,37.5,8.78,67.2,48.6,10.79,0.62,5.8,0.86,14.5,Ralf Fährmann
Ralf Fährmann,Ralf Sebastian Fährmann,0.1574414754355866,7166666,2018-2019,31.0,1.97,Goalkeeper,right,Bundesliga,1.59,4.9,3.49,70.0,0.25,0.18,0.55,0.18,18.8,0.12,0.12,0.0,0.0,0.0,1.59,0.12,0.06,0.25,0.06,1.56,0.32,0.02,6.98,15.68,44.5,24.26,4.17,46.2,40.6,7.23,61.9,49.4,8.45,0.74,8.7,0.92,17.2,Ralf Fährmann
Ralf Fährmann,Ralf Sebastian Fährmann,0.1986167023557189,11333333,2017-2018,30.0,1.97,Goalkeeper,right,Bundesliga,1.1,3.61,2.6,71.9,0.54,0.27,0.21,0.39,38.2,0.18,0.09,0.06,0.03,40.0,1.1,0.09,0.0,0.09,0.03,0.99,0.26,-0.08,5.37,14.81,36.3,20.87,3.64,49.9,41.1,6.48,67.7,50.7,8.66,1.1,12.8,0.45,14.3,Ralf Fährmann
Régis Gurtner,Régis Gurtner,0.102186224378192,1150000,2019-2020,34.0,1.82,Goalkeeper,right,Ligue 1,1.79,5.0,3.29,65.0,0.14,0.39,0.46,0.18,17.9,0.04,0.04,0.0,0.0,0.0,1.79,0.04,0.04,0.46,0.04,1.46,0.29,-0.29,8.25,18.61,44.3,20.25,3.39,55.7,43.6,9.07,80.7,55.4,9.61,0.54,5.6,0.39,13.7,Régis Gurtner
Régis Gurtner,Régis Gurtner,0.1765776041615382,2250000,2018-2019,33.0,1.82,Goalkeeper,right,Ligue 1,1.37,4.08,2.87,70.3,0.24,0.29,0.47,0.29,28.9,0.24,0.16,0.05,0.03,25.0,1.37,0.16,0.08,0.21,0.05,1.29,0.28,-0.02,7.97,21.39,37.3,21.76,2.24,63.2,48.1,8.47,90.1,62.1,9.53,0.63,6.6,0.55,14.6,Régis Gurtner
Régis Gurtner,Régis Gurtner,0.2417065725554921,2500000,2017-2018,32.0,1.82,Goalkeeper,right,Ligue 1,1.11,4.81,3.81,79.2,0.32,0.24,0.43,0.3,29.7,0.11,0.11,0.0,0.0,0.0,1.11,0.11,0.0,0.05,0.0,1.36,0.27,0.26,6.65,19.59,33.9,19.97,1.92,62.5,47.2,7.27,97.8,65.6,12.84,0.97,7.6,0.57,14.9,Régis Gurtner
Rémy Vercoutre,Rémy Vercoutre,0.1835221761868468,250000,2017-2018,38.0,1.85,Goalkeeper,right,Ligue 1,1.39,3.86,2.7,66.9,0.26,0.2,0.55,0.32,31.4,0.12,0.12,0.0,0.0,0.0,1.39,0.12,0.0,0.17,0.12,1.13,0.27,-0.14,8.79,19.06,46.1,20.65,2.15,68.7,50.5,5.1,95.5,64.6,10.44,0.96,9.2,0.49,14.5,Rémy Vercoutre
René Adler,René Adler,0.1663497179433737,1250000,2017-2018,33.0,1.91,Goalkeeper,right,Bundesliga,1.29,3.64,2.43,66.7,0.36,0.21,0.43,0.29,28.6,0.14,0.07,0.0,0.07,0.0,1.29,0.07,0.0,0.36,0.0,1.32,0.36,0.04,6.0,15.57,38.5,21.14,2.86,48.0,40.7,6.43,84.4,61.3,9.29,0.64,6.9,0.86,15.9,René Adler
Rob Elliot,Robert Elliot,0.1958737024087683,1500000,2017-2018,32.0,1.9,Goalkeeper,left,Premier League,1.31,4.0,2.81,68.8,0.31,0.13,0.56,0.19,18.8,0.13,0.06,0.06,0.0,50.0,1.31,0.06,0.0,0.19,0.06,1.28,0.3,0.03,10.44,24.13,43.3,23.63,3.06,67.7,50.0,9.94,81.8,59.7,11.75,0.75,6.4,0.44,12.2,Rob Elliot
Robin Olsen,Robin Patrick Olsen,0.1935001236866077,7250000,2019-2020,30.0,1.96,Goalkeeper,right,Serie A,1.42,4.9,3.72,75.9,0.47,0.3,0.24,0.24,23.5,0.24,0.24,0.0,0.0,0.0,1.42,0.24,0.0,0.06,0.12,1.29,0.23,-0.01,6.2,16.42,37.8,20.14,3.66,55.4,45.1,9.39,56.0,47.3,11.81,0.71,6.0,0.24,11.1,Robin Olsen
Robin Olsen,Robin Patrick Olsen,0.133551159680844,6875000,2018-2019,29.0,1.96,Goalkeeper,right,Serie A,1.56,4.59,3.22,69.4,0.44,0.3,0.26,0.15,14.8,0.22,0.15,0.0,0.07,0.0,1.56,0.15,0.0,0.26,0.04,1.41,0.28,-0.1,5.96,13.48,44.2,23.67,5.7,38.7,36.2,7.67,56.5,48.7,9.19,0.37,4.0,0.37,12.2,Robin Olsen
Robin Zentner,Robin Zentner,0.2482453983191518,4750000,2020-2021,27.0,1.95,Goalkeeper,right,Bundesliga,1.48,4.35,3.0,69.6,0.29,0.29,0.42,0.16,16.1,0.19,0.16,0.0,0.03,0.0,1.48,0.16,0.03,0.13,0.03,1.31,0.27,-0.14,5.35,16.16,33.1,26.84,6.32,43.3,39.5,8.03,56.6,47.6,9.48,0.9,9.5,0.61,14.0,Robin Zentner
Robin Zentner,Robin Zentner,0.1229807337268287,3400000,2019-2020,26.0,1.95,Goalkeeper,right,Bundesliga,1.86,5.26,3.49,65.5,0.37,0.09,0.56,0.14,13.6,0.09,0.05,0.05,0.0,50.0,1.86,0.05,0.0,0.28,0.05,1.72,0.32,-0.09,6.28,19.02,33.0,28.09,6.7,47.4,40.8,9.12,62.8,51.6,10.51,1.07,10.2,0.93,16.2,Robin Zentner
Robin Zentner,Robin Zentner,0.1741716110484232,1500000,2018-2019,25.0,1.95,Goalkeeper,right,Bundesliga,1.4,5.1,3.7,72.5,0.4,0.4,0.2,0.2,20.0,0.0,0.0,0.0,0.0,,1.4,0.0,0.1,0.2,0.0,1.5,0.3,0.1,5.4,18.7,28.9,25.6,5.4,44.1,39.3,9.1,81.3,63.0,11.1,1.5,13.5,0.8,14.7,Robin Zentner
Robin Zentner,Robin Zentner,0.1040366225519614,600000,2017-2018,24.0,1.95,Goalkeeper,right,Bundesliga,1.8,4.4,2.93,65.2,0.2,0.33,0.47,0.13,13.3,0.27,0.27,0.0,0.0,0.0,1.8,0.27,0.07,0.2,0.07,1.68,0.34,-0.05,6.47,19.87,32.6,25.8,5.27,53.0,42.4,8.27,75.0,57.3,7.73,0.73,9.5,1.27,15.6,Robin Zentner
Roman Bürki,Roman Bürki,0.1847666999891754,5000000,2020-2021,31.0,1.87,Goalkeeper,right,Bundesliga,1.62,4.81,3.41,70.8,0.49,0.11,0.38,0.22,22.2,0.22,0.22,0.0,0.0,0.0,1.62,0.22,0.0,0.32,0.0,1.37,0.26,-0.25,4.97,10.86,45.8,28.11,5.73,30.8,32.5,5.89,37.6,36.3,6.54,0.49,7.4,0.32,13.4,Roman Bürki
Roman Bürki,Roman Bürki,0.154021881937069,12500000,2019-2020,30.0,1.87,Goalkeeper,right,Bundesliga,1.3,3.02,1.92,60.2,0.62,0.16,0.23,0.42,41.9,0.1,0.1,0.0,0.0,0.0,1.3,0.1,0.0,0.26,0.1,1.13,0.36,-0.07,3.77,10.4,36.3,27.39,5.88,29.8,32.8,6.63,33.8,34.3,7.18,0.49,6.8,0.88,14.8,Roman Bürki
Roman Bürki,Roman Bürki,0.170818906238586,11625000,2018-2019,29.0,1.87,Goalkeeper,right,Bundesliga,1.25,3.91,2.75,71.2,0.66,0.22,0.13,0.31,31.3,0.13,0.13,0.0,0.0,0.0,1.25,0.13,0.03,0.22,0.0,1.18,0.28,-0.07,5.22,14.81,35.2,26.31,5.28,38.5,36.5,7.0,67.0,51.6,8.63,0.5,5.8,0.78,15.6,Roman Bürki
