longName,ratings_mean,season
Cristian Portugués Manzanera,0.0854087031198403,2017-2018
Cristian Tello Herrera,0.0456619199391171,2017-2018
Cristiano Biraghi,0.0135223182676743,2017-2018
Cristiano Lombardi,0.0048427957810295,2017-2018
Cristiano Ronaldo dos Santos Aveiro,0.2248524237572818,2017-2018
Cyril Théréau,0.1285432621158937,2017-2018
Cédric Ricardo Alves Soares,0.0042845463099215,2017-2018
Cédric Varrault,0.0047902073714768,2017-2018
Cédric Yamberé,0.0305956092571251,2017-2018
César Alejandro Falletti dos Santos,0.0047622883485879,2017-2018
César Azpilicueta Tanco,0.0162051421986077,2017-2018
Dalbert Henrique Chagas Estevão,0.0047717487046808,2017-2018
Dale Stephens,0.0037376518661779,2017-2018
Daley Blind,0.0047736663493433,2017-2018
Damien Da Silva,0.0426297067508944,2017-2018
Damián Nicolás Suárez Suárez,0.012529779072091,2017-2018
Dan Gosling,0.0273881301204632,2017-2018
Dan-Axel Zagadou,0.0047788418576454,2017-2018
Dani Castellano Betancor,0.0044665236750423,2017-2018
Daniel Alejandro Torres Rojas,0.0046536115601641,2017-2018
Daniel Alves da Silva,0.0151870129002787,2017-2018
Daniel Amartey,0.0047902073714768,2017-2018
Daniel Baier,0.0040207752620361,2017-2018
Daniel Brosinski,0.0176439098780703,2017-2018
Daniel Caligiuri,0.0481254158305023,2017-2018
Daniel Carvajal Ramos,0.0049456580909164,2017-2018
Daniel Ceballos Fernández,0.0047184696813824,2017-2018
Daniel Congré,0.0163072935944093,2017-2018
Daniel Didavi,0.0440084723389812,2017-2018
Daniel García Carrillo,0.00435356894743,2017-2018
Daniel Ginczek,0.0507931126691757,2017-2018
Daniel Nii Tackie Mensah Welbeck,0.0047017451343164,2017-2018
Daniel Parejo Muñoz,0.0562940728899689,2017-2018
Daniel Pavlovic,0.0047778339247071,2017-2018
Daniel Raba Antolí,0.039671923530025,2017-2018
Daniel Sturridge,0.0048301771367884,2017-2018
Daniel Tawiah Opare,0.0045251813060737,2017-2018
Daniel Wass,0.0258347515653844,2017-2018
Daniel Williams,0.0046144151489626,2017-2018
Daniele Baselli,0.0346359272098874,2017-2018
Daniele Bonera,0.0046498355361863,2017-2018
Daniele De Rossi,0.0122628997519285,2017-2018
Daniele Dessena,0.0047949243502891,2017-2018
Daniele Rugani,0.0196383503434545,2017-2018
Daniele Verde,0.0047045864142469,2017-2018
Danilo Cataldi,0.0165413342117385,2017-2018
Danilo D'Ambrosio,0.023251002329006,2017-2018
Danilo Fernando Avelar,0.0189836384257832,2017-2018
Danilo Larangeira,0.0160083849035937,2017-2018
Danilo,0.0047763515201435,2017-2018
Danny  Vieira da Costa,0.023994859750254,2017-2018
Danny Drinkwater,0.0211106429086305,2017-2018
Danny Ings,0.0047368495496346,2017-2018
Danny Latza,0.0179395744848322,2017-2018
Danny Rose,0.0047474445161048,2017-2018
Danny Simpson,0.0045052818383531,2017-2018
Dante Bonfim da Costa Santos,0.0125814679650921,2017-2018
Dario Dainelli,0.0048915016371038,2017-2018
Darko Brašanac,0.0401441995227968,2017-2018
Darko Lazović,0.004554716876111,2017-2018
Darren  Fletcher,0.0047044777657927,2017-2018
Daryl Janmaat,0.0214381028532172,2017-2018
David García Santana,0.0047870453323785,2017-2018
David Josué Jiménez Silva,0.0750672261196679,2017-2018
David Juncà Reñé,0.0047146160888454,2017-2018
David López Silva,0.0126317962381741,2017-2018
David Olatukunbo Alaba,0.0295283006957751,2017-2018
Jason,0.0203275149377493,2017-2018
David Rodríguez Lombán,0.0047596456196802,2017-2018
David Simón Rodríguez Santana,0.005056636597038,2017-2018
David Timor Copoví,0.0047394308045721,2017-2018
David Zurutuza Veillet,0.0046661986667959,2017-2018
David Ángel Abraham,0.0053503529975688,2017-2018
Davide Astori,0.0161902540995772,2017-2018
Davide Biondini,0.0047828633372958,2017-2018
Davide Biraschi,0.0046361401111759,2017-2018
Davide Calabria,0.0109836674259485,2017-2018
