longName,wyId
Anaitz Arbilla Zabala,4805
Abel Enrique Aguilar Tapia,4814
Miguel Alfonso Herrero Javaloyas,4821
Carles Gil de Pareja Vicent,4879
Robert Ibáñez Castro,4880
José Luis Gayá Peña,4892
Alberto Moreno Pérez,4908
Jozabed Sánchez Ruiz,4911
David Simón Rodríguez Santana,4936
Pedro Tanausú Domínguez Placeres,4969
Antoñito,4997
José Mari,5055
Lucas Torró,5112
Anthony Rubén Lozano Colón,5147
Mariano Díaz Mejía,5167
Julián Omar Ramos Suárez,5195
Manolo Reina,5210
Sergio León Limones,5268
Allan-Romeo Nyom,5281
Mikel Rico Moreno,5290
Odion Jude Ighalo,5295
Miguel Ángel Garrido Cifuentes,5327
Antonio García Aranda,5383
Gerard Moreno Balaguero,5400
Luis Hernández Rodríguez,5472
Miguel Ángel Guerrero Martín,5481
Daniel García Carrillo,5542
Martín Maximiliano Mantovani,5653
Bruno González Cabrera,5677
Ramon Azeez,5725
Juan Pablo Añor Acosta,5791
Álex Gallar,5875
Sergi Samper Montaña,5907
Álex Moreno,5910
Sandro  Ramírez Castillo,5911
Rubén Alcaraz,6035
José Antonio Rodríguez Díaz,6106
Florin Andone,6165
Francesc Aday Benítez Caraballo,6210
Joseba Zaldúa Bengoetxea,6281
Pablo Hervías,6287
Kenan Kodro,6292
Unai García,6317
Ander Cantero Armendáriz,6322
Gonzalo Cacicedo Verdú,6325
David García Santana,6338
Aitor Fernández,6362
Jon Ander Serantes Simon,6363
Unai Bustinza Martínez,6365
Javier Eraso Goñi,6370
Jon Ander Garrido,6386
Dani Rodríguez,6456
Munir Mohand Mohamedi,6509
Raúl García Carnero,6513
Javi Moyano,6528
Isaac Carcelén,6572
Pedro López Galisteo,6577
Antonio Raillo,6579
Jonathan Rodríguez Menéndez,6684
Alexander Alegría Moreno,6914
Héctor Hernández Ortega,6925
Pablo Ínsua Blanco,6950
Quini,7072
Raúl Albentosa Redal,7302
Sergi Guardiola,7458
Manuel Alejandro García Sánchez,7585
Jorge Miramón,7612
Leonardo Carrilho Baptistão,7623
Rober Correa,7624
Jaime Mata,7629
Pere Milla,7693
Carlos Akapo,7818
Łukasz Fabiański,7847
Damián Emiliano Martínez,7848
Wojciech  Szczęsny,7849
Johan Danon Djourou-Gbadjere,7850
Kieran  Gibbs,7853
Laurent Koscielny,7855
Per Mertesacker,7856
Ignasi Miquel i Pons,7857
Bacary Sagna,7858
Thomas Vermaelen,7860
Francis Coquelin,7864
Alex Oxlade-Chamberlain,7868
Oğuzhan Özyakup,7869
Aaron Ramsey,7870
Tomáš  Rosický,7871
Jack Wilshere,7873
Gervinho,7876
Theo  Walcott,7879
Petr Čech,7882
Ryan Bertrand,7885
Gary  Cahill,7887
Nathaniel Chalobah,7888
Branislav Ivanović,7891
David Luiz Moreira Marinho,7892
John Michael Nchekwube Obinna,7898
Oriol Romeu Vidal,7899
Salomon Armand Magloire Kalou,7904
Romelu Lukaku Menama,7905
Juan Manuel Mata García,7906
Daniel Sturridge,7907
Fernando José Torres Sanz,7908
David de Gea Quintana,7910
Anders Lindegaard,7912
Jonny Evans,7914
Patrice Evra,7915
Phil Jones,7918
Michael Keane,7919
Rafael Pereira da Silva,7920
Fábio Pereira da Silva,7921
Chris Smalling,7922
Luís Carlos Almeida da Cunha,7926
Michael Carrick,7928
Tom Cleverley,7929
Darren  Fletcher,7932
Jesse Lingard,7934
Paul Pogba,7936
Luis Antonio Valencia Mosquera,7938
Ashley  Young,7939
Javier Hernández Balcázar,7941
Wayne Rooney,7944
Daniel Nii Tackie Mensah Welbeck,7945
Brad Jones,7947
José Manuel  Reina Páez,7949
Conor David Coady,7953
Sebastián Coates Nión,7954
Jon Flanagan,7956
Glen Johnson,7957
Martin Kelly,7958
Martin Škrtel,7960
Charlie Adam,7961
Jordan Brian Henderson,7964
Lucas  Pezzini Leiva,7965
Jonjo Shelvey,7967
Andy Carroll,7970
Luis Alberto Suárez Díaz,7972
Rob Elliot,7974
Tim Krul,7976
Paul Dummett,7978
Shane Ferguson,7979
Tamás Kádár,7980
Davide Santon,7982
Mehdi Abeid,7986
Hatem Ben Arfa,7987
Yohan Cabaye,7988
Dan Gosling,7989
Ciaran Clark,8004
James Michael Collins,8005
Enda John Stevens,8010
Marc Albrighton,8013
Stephen  Ireland,8017
Robbie Keane,8025
Marcos  Alonso Mendoza,8032
Anga Dedryck Boyata,8034
Chung-Yong Lee,8049
Ben Hamer,8066
Dale Stephens,8086
Jack Butland,8094
Glyn Oliver Myhill,8096
Vhakka Eddy Stelh Gnahoré,8109
Jordon Mutch,8111
Nathan Redmond,8116
Bartosz Bialkowski,8121
Jack Cork,8125
José Miguel da Rocha Fonte,8126
Luke Shaw,8135
Jack Stephens,8136
Adam Lallana,8140
Jason Puncheon,8142
Morgan Schneiderlin,8143
James  Ward-Prowse,8144
Iago Falqué Silva,8148
William Louis Sharp,8152
Joe Bennett,8166
Scott Dann,8186
Grant Campbell Hanley,8189
Martin Olsson,8192
Steven N'Kemboanza Mike Christopher N'Zonzi,8200
David Wayne Hoilett,8210
Anthony Mbu Agogo Modeste,8211
Rubén  Rochina Naixes,8213
Joel Ward,8221
Ján Mucha,8238
Leighton Baines,8239
Séamus Coleman,8240
Shane Duffy,8242
Phil Jagielka,8245
Ross Barkley,8246
Tim Cahill,8247
Marouane Fellaini-Bakkioui,8249
Heurelho da Silva Gomes,8266
Benoît Assou-Ekotto,8268
Younes Kaboul,8272
Kyle Walker,8277
Gareth Frank Bale,8278
Ryan Marlowe Fredericks,8280
Aaron  Lennon,8284
Jake Livermore,8285
Massimo  Luongo,8286
Luka Modrić,8287
Alex  Pritchard,8290
Sandro  Ranieri Guimarães Cordeiro,8291
Danny Rose,8292
Jermain  Defoe,8296
Giovani dos Santos Ramírez,8297
Joe Hart,8301
Costel Fane Pantilimon,8303
Stuart Taylor,8304
Aleksandar Kolarov,8306
Vincent Kompany,8307
Karim Rekik,8309
Stefan Savić,8311
Pablo Javier Zabaleta Girod,8313
Gareth Barry,8314
Nigel de Jong,8315
David Josué Jiménez Silva,8317
James Milner,8319
Denis Suárez Fernández,8323
Gnégnéri Yaya Touré,8324
Sergio Leonel Agüero del Castillo,8325
Mario  Barwuah Balotelli,8326
Edin Džeko,8327
Kyle Naughton,8336
Wesley Hoolahan,8346
Andrew Surman,8351
Ben Foster,8358
Craig Dawson,8360
Gareth McAuley,8362
Chris Brunt,8370
Zoltán Gera,8372
James  Morrison,8374
Shane  Long,8384
Julián Speroni,8391
Nathaniel Clyne,8392
John Egan,8394
Mile Jedinak,8410
Glenn Murray,8416
Jonathan Williams,8421
Wilfried Zaha,8422
Wayne  Hennessey,8425
Stephen Ward,8433
David Edwards,8436
Adam Smith,8460
Fabian Delph,8464
Robert Snodgrass,8469
Andros Townsend,8471
Kasper Schmeichel,8480
Souleymane Bamba,8482
Wes Morgan,8488
Danny Drinkwater,8495
Andy King,8498
Jeffrey  Schlupp,8501
Simon Mignolet,8514
Keiren Westwood,8515
Phil Bardsley,8516
John  O'Shea,8522
Ahmed Eissa  El Mohamady Abdel Fattah,8525
Sebastian Larsson,8529
James McClean,8530
David  Meyler,8531
Stéphane Sessègnon,8533
David Vaughan,8534
Dong-Won Ji,8537
Robert Green,8544
Winston  Reid,8553
James Tomkins,8554
Mark Noble,8561
Sam Baldock,8566
Alex McCarthy,8580
Aaron Cresswell,8582
Damien Delaney,8583
Daryl Murphy,8603
Mohamed Diamé,8620
James McArthur,8623
James McCarthy,8624
Victor Moses,8625
Ben Watson,8627
Franco Matías Di Santo,8628
Matthew Lowton,8643
Harry  Maguire,8653
Nathaniel Otis Mendez-Laing,8655
Stephen Quinn,8658
Michail Antonio,8677
Hal Robson-Kanu,8686
Simon Church,8688
Harry Kane,8717
Asmir Begović,8726
Ryan Shawcross,8731
Glenn  Whelan,8744
Dean Whitehead,8745
Peter Crouch,8747
Jonathan  Walters,8752
Cyrus Christie,8759
Martin Cranie,8761
Richard Keogh,8764
Oliver Norwood,8773
Conor McLaughlin,8797
Karl Darlow,8826
Chris Gunter,8831
Jamal Lascelles,8833
David James McGoldrick,8852
Lee Hodson,8887
Adrian Mariappa,8889
Jonathan Hogg,8897
Alexander Kačaniklić,8899
Troy Deeney,8903
Ashley Westwood,8925
Lee Grant,8935
Ben Mee,8944
Kieran Trippier,8945
Dean Marney,8947
Charlie Austin,8953
Danny Ings,8955
Jay Rodriguez,8958
Junior Stanislas,8959
Adam Legzdins,8963
Tom Carroll,8976
Jeff Hendrick,8980
Will Hughes,8981
Jamie Ward,8989
Paulo Dino Gazzaniga,8992
Conor Hourihane,9035
Adel Taarabt,9080
Lewis Dunk,9097
Ashley Barnes,9123
Sam Vokes,9127
Will Grigg,9145
Charlie Taylor,9164
Nahki Wells,9179
Yannick Bolasie Yala,9194
Joe Bryan,9195
Chris Wood,9206
Matt Ritchie,9227
Steve Cook,9277
Simon Francis,9279
Scott Malone,9280
Harry Arter,9283
Charlie Daniels,9285
Marc Pugh,9293
John Stones,9380
Chris Basham,9402
Craig Cathcart,9403
John Alexander Fleck,9412
Matt Phillips,9414
Tom Ince,9419
James  Tarkowski,9433
Ryan Bennett,9488
Niall McGinn,9525
Saido Berahino,9532
Péter Gulácsi,9611
James Chester,9615
Liam David Ian Cooper,9616
Corry Evans,9620
Liam Rosenior,9622
Robbie Brady,9623
Thomas Cairney,9624
Joshua King,9637
Conor Stephen Townsend,9683
Jordon  Ibe,9739
Luke Ayling,9843
Luke Garbutt,9939
Syam Ben Youssef,10014
Kevin Long,10108
Ahmed Benali,10113
Jordan Pickford,10131
Sam Johnstone,10153
James Meredith,10214
Sam Clucas,10252
Andre Gray,10663
Jack Peter Grealish,11051
Callum Jack Robinson,11052
Brad Smith,11061
Jesús Joaquín Fernández Sáez de la Torre,11063
Raheem Shaquille Sterling,11066
Angus Gunn,11070
Tom Smith,11078
William Troost-Ekong,11093
Milos Veljkovic,11095
Chris Baird,11131
Aaron  Hughes,11135
Steven James Sidwell,11150
Moussa Sidi Yaya Dembélé,11152
Bryan Ruiz González,11155
Marcello Trotta,11156
Owain Fôn Williams,11228
Sam Morsy,11270
Sean Joseph Morrison,11290
Scott Arfield,11294
Danny Ward,11304
Callum Wilson,11669
Nick Pope,12242
Benjamin Matthew Godfrey,12379
Dwight Gayle,12536
Jamie Vardy,12829
Connor Goldson,13451
Bamidele Alli,13484
George Baldock,13485
George Christopher Williams,13492
Freddie Ladapo,13745
Sokratis Papastathopoulos,14687
Sebastian Prödl,14688
Ronaldo  Aparecido Rodrigues,14689
Philipp Bargfrede,14692
Aleksandar Ignjovski,14695
Zlatko Junuzović,14696
Tom Trybull,14702
Marko Arnautović,14703
Niclas Füllkrug,14705
Aaron Hunt,14706
Claudio Miguel Pizarro Bossio,14707
Manuel Neuer,14712
Holger Badstuber,14715
Jérôme Boateng,14716
Diego Contento,14717
Márcio Rafael Ferreira de Souza,14718
